Alif 5
Aku 23
Aku 23
 23
dani 15
Ay 4
doni 15
asd 1
 0
level 7
1 15
aduh 3
dfhg 46
 4
 4
ddha 1
a 2
ddd 14
 19
 2
oke 21
 34
 0
ada 4
crush 0
aduhai 31
asdd 2
